capture_run_id,company,document_year,table_id,pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,capture_canonical_item,capture_mapping_status,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,original_unit,page,header_source_page,source_method,source_key,canonical_section,canonical_item,category,mapping_status,mapping_note,canonical_key,canonical_order,row_type_order,row_level_order,parent_section_order,order_source,reference_capture_run_id,reference_row_order
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",4,DETAIL,0,,行政办公支出,行政办公支出,,UNMAPPED,2022.0,,False,2022.0,"125,801.71",125801.71,,,,106,,spatial_roi+column_anchors,||行政办公支出,,行政办公支出,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::行政办公支出,5,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,4.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",5,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,2023.0,,False,2023.0,"89,744.97",89744.97,,,,106,,spatial_roi+column_anchors,||保险保障基金,,保险保障基金,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::保险保障基金,7,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,6.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",5,DETAIL,0,,保险保障基金,保险保障基金,,UNMAPPED,2022.0,,False,2022.0,"55,077.70",55077.7,,,,106,,spatial_roi+column_anchors,||保险保障基金,,保险保障基金,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::保险保障基金,7,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,6.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",6,DETAIL,0,,电子设备运转费,电子设备运转费,,UNMAPPED,2023.0,,False,2023.0,"62,795.24",62795.24,,,,106,,spatial_roi+column_anchors,||电子设备运转费,,电子设备运转费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::电子设备运转费,9,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,8.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",6,DETAIL,0,,电子设备运转费,电子设备运转费,,UNMAPPED,2022.0,,False,2022.0,"36,314.97",36314.97,,,,106,,spatial_roi+column_anchors,||电子设备运转费,,电子设备运转费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::电子设备运转费,9,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,8.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",7,DETAIL,0,,广告及宣传费,广告及宣传费,,UNMAPPED,2023.0,,False,2023.0,"59,859.04",59859.04,,,,106,,spatial_roi+column_anchors,||广告及宣传费,,广告及宣传费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::广告及宣传费,8,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,7.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",7,DETAIL,0,,广告及宣传费,广告及宣传费,,UNMAPPED,2022.0,,False,2022.0,"49,877.52",49877.52,,,,106,,spatial_roi+column_anchors,||广告及宣传费,,广告及宣传费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::广告及宣传费,8,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,7.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",8,DETAIL,0,,租赁费,租赁费,,UNMAPPED,2023.0,,False,2023.0,"21,362.96",21362.96,,,,106,,spatial_roi+column_anchors,||租赁费,,租赁费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::租赁费,10,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,9.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",8,DETAIL,0,,租赁费,租赁费,,UNMAPPED,2022.0,,False,2022.0,"23,508.17",23508.17,,,,106,,spatial_roi+column_anchors,||租赁费,,租赁费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::租赁费,10,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,9.0
农银人寿2023年报__业务及管理费__20260721T161604,农银人寿,2023,业务及管理费,3f737be00412_农银人寿2023年报.pdf,业务及管理费,,"合计 (15,714.27) (21,900.60)37. 业务及管理费",9,DETAIL,0,,监管费,监管费,,UNMAPPED,2023.0,,False,2023.0,"15,134.30",15134.3,,,,106,,spatial_roi+column_anchors,||监管费,,监管费,,AUTO_EXACT_IDENTITY,,CANON::业务及管理费::::监管费,11,DETAIL,0,nan,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,10.0
