table_id,canonical_key,canonical_section,canonical_item,company,document_year,year,scope,restated,unit,source_count,mapping_status,conflict_status,final_value,source_rows
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::无形资产摊销,,无形资产摊销,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,180577641.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:无形资产摊销
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::无形资产摊销,,无形资产摊销,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,123487155.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:无形资产摊销
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::使用权资产折旧,,使用权资产折旧,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,147585594.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:使用权资产折旧
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::使用权资产折旧,,使用权资产折旧,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,153754901.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:使用权资产折旧
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::提取保险保障基金,,提取保险保障基金,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,136823652.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:提取保险保障基金
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::提取保险保障基金,,提取保险保障基金,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,96691138.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:提取保险保障基金
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::修理及维护费用,,修理及维护费用,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,100766153.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:修理及维护费用
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::修理及维护费用,,修理及维护费用,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,103952695.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:修理及维护费用
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::资产托管费,,资产托管费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,64109388.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:资产托管费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::资产托管费,,资产托管费,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,92444402.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:资产托管费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::固定资产折旧,,固定资产折旧,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,61968932.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:固定资产折旧
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::固定资产折旧,,固定资产折旧,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,66954817.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:固定资产折旧
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::租赁费用,,租赁费用,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,56347531.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:租赁费用
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::租赁费用,,租赁费用,建信人寿,2023,2022.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,55367233.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:租赁费用
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::培训费,,培训费,建信人寿,2023,2023.0,,False,元,1,AUTO_EXACT_IDENTITY,OK,54734995.0,建信人寿2023年报__业务及管理费__20260721T155259:p143:培训费
